Código,Município
afonso-claudio,Afonso Cláudio
aguia-branca,Águia Branca
agua-doce-do-norte,Água Doce do Norte
alegre,Alegre
alfredo-chaves,Alfredo Chaves
alto-rio-novo,Alto Rio Novo
anchieta,Anchieta
apiaca,Apiacá
aracruz,Aracruz
atilio-vivacqua,Atílio Vivácqua
baixo-guandu,Baixo Guandu
barra-de-sao-francisco,Barra de São Francisco
boa-esperanca,Boa Esperança
bom-jesus-do-norte,Bom Jesus do Norte
brejetuba,Brejetuba
cachoeiro-de-itapemirim,Cachoeiro de Itapemirim
cariacica,Cariacica
castelo,Castelo
colatina,Colatina
conceicao-da-barra,Conceição da Barra
conceicao-do-castelo,Conceição do Castelo
divino-de-sao-lourenco,Divino de São Lourenço
domingos-martins,Domingos Martins
dores-do-rio-preto,Dores do Rio Preto
ecoporanga,Ecoporanga
fundao,Fundão
governador-lindenberg,Governador Lindenberg
guacui,Guaçuí
guarapari,Guarapari
ibatiba,Ibatiba
ibiracu,Ibiraçu
ibitirama,Ibitirama
iconha,Iconha
irupi,Irupi
itaguacu,Itaguaçu
itapemirim,Itapemirim
itarana,Itarana
iuna,Iúna
jaguare,Jaguaré
jeronimo-monteiro,Jerônimo Monteiro
joao-neiva,João Neiva
laranja-da-terra,Laranja da Terra
linhares,Linhares
mantenopolis,Mantenópolis
marataizes,Marataízes
marechal-floriano,Marechal Floriano
marilandia,Marilândia
mimoso-do-sul,Mimoso do Sul
montanha,Montanha
mucurici,Mucurici
muniz-freire,Muniz Freire
muqui,Muqui
nova-venecia,Nova Venécia
pancas,Pancas
pedro-canario,Pedro Canário
pinheiros,Pinheiros
piuma,Piúma
ponto-belo,Ponto Belo
presidente-kennedy,Presidente Kennedy
rio-bananal,Rio Bananal
rio-novo-do-sul,Rio Novo do Sul
santa-leopoldina,Santa Leopoldina
santa-maria-de-jetiba,Santa Maria de Jetibá
santa-teresa,Santa Teresa
sao-domingos-do-norte,São Domingos do Norte
sao-gabriel-da-palha,São Gabriel da Palha
sao-jose-do-calcado,São José do Calçado
sao-mateus,São Mateus
sao-roque-do-canaa,São Roque do Canaã
serra,Serra
sooretama,Sooretama
vargem-alta,Vargem Alta
venda-nova-do-imigrante,Venda Nova do Imigrante
viana,Viana
vila-pavao,Vila Pavão
vila-valerio,Vila Valério
vila-velha,Vila Velha
vitoria,Vitória